Cell_Index,Cell_Type_Experimental
752503,T_CD4_memory
187120,T_CD4_naive
352573,T_CD4_naive
35153,T_CD4_memory
810616,T_CD8_memory
647415,T_CD4_memory
842098,T_CD4_memory
630936,T_CD4_memory
561650,T_CD4_naive
584298,T_CD4_naive
323611,B
133143,T_CD4_memory
35498,T_CD4_naive
352162,T_CD4_memory
884119,T_CD4_memory
384374,T_CD4_memory
302907,T_CD4_memory
101103,T_CD4_naive
396137,T_CD4_memory
194101,T_CD4_memory
19786,T_CD4_naive
628536,T_CD4_naive
686228,T_CD4_memory
87939,T_CD4_naive
384244,B
571161,T_CD4_naive
407661,T_CD4_memory
529720,B
63596,T_CD4_naive
218914,T_CD4_memory
251576,T_CD4_memory
697496,T_CD8_memory
155047,T_CD4_memory
498606,T_CD4_memory
467673,T_CD4_memory
59617,T_CD4_memory
460335,T_CD4_memory
236187,T_CD4_memory
365096,T_CD4_memory
84155,T_CD4_naive
199467,B
594161,T_CD4_naive
407522,T_CD4_memory
492898,B
146303,T_CD4_memory
826241,T_CD4_memory
44439,T_CD4_naive
456068,T_CD4_memory
312526,T_CD4_memory
152787,T_CD4_memory
248653,T_CD4_memory
870637,T_CD4_memory
657316,T_CD4_memory
708092,T_CD4_memory
371358,T_CD8_memory
465739,T_CD4_memory
640931,B
390416,T_CD4_memory
88024,T_CD4_memory
503175,T_gamma_delta
300616,T_CD4_memory
538856,T_CD4_memory
661022,T_CD4_memory
411130,T_CD4_memory
393250,T_CD4_memory
654103,T_CD4_memory
799650,T_CD4_memory
654371,T_CD4_memory
131608,T_CD4_memory
548788,T_CD4_naive
820016,T_CD4_naive
249774,T_CD4_memory
407860,T_CD4_memory
484594,T_CD4_memory
34514,T_CD4_memory
636717,T_CD4_memory
611863,T_CD4_memory
508204,T_CD4_naive
83192,T_CD8_memory
391495,T_CD4_memory
602588,T_CD4_memory
2312,T_CD4_memory
631396,T_CD4_memory
332297,T_CD4_memory
439203,T_CD4_memory
425780,T_CD4_memory
105502,T_CD4_naive
155011,T_CD4_memory
508217,T_CD4_naive
863327,T_CD4_memory
269316,T_CD4_memory
448588,T_CD4_naive
858244,T_CD4_memory
151816,T_CD8_memory
375417,B
605929,T_CD4_memory
111654,T_CD4_memory
471666,T_CD4_memory
193941,T_CD4_memory
807909,T_CD4_memory
457128,T_CD4_memory
509372,T_CD4_memory
338125,B
491657,T_CD4_memory
37884,T_CD4_memory
156613,T_CD4_memory
795331,T_CD4_memory
361096,T_CD4_naive
500158,B
109010,T_CD4_memory
363273,T_CD4_naive
807139,T_CD4_memory
752292,B
473887,T_CD4_memory
790905,T_CD4_memory
274537,T_CD4_memory
30607,T_CD4_memory
65332,T_CD4_memory
479873,T_CD4_naive
368393,T_CD4_memory
724691,T_CD4_memory
203376,B
511798,T_CD4_memory
840227,T_CD4_memory
530570,T_CD4_memory
223072,B
590374,B
414726,B
223610,T_CD4_naive
686407,T_CD4_memory
753508,T_CD8_memory
602089,T_CD4_memory
9168,T_CD4_memory
281028,T_CD4_memory
176380,B
302770,T_CD4_memory
263,Natural_killer
195739,T_CD4_memory
65589,T_CD4_memory
102766,T_CD4_memory
425060,T_CD4_naive
775066,T_CD4_naive
401334,T_CD4_memory
92714,T_CD8_memory
679868,T_CD4_memory
838597,T_CD4_memory
217252,T_CD4_memory
300479,T_CD4_memory
751239,T_CD4_memory
436583,B
437160,T_CD8_naive
712575,T_CD4_memory
794824,T_CD4_memory
356506,T_CD4_memory
251526,T_CD4_naive
642311,T_CD4_memory
212930,T_CD4_memory
197741,T_CD4_memory
76067,T_CD8_naive
219630,T_CD4_memory
245296,B
375567,T_CD4_memory
653093,T_CD4_memory
447589,T_CD4_naive
198744,T_CD4_memory
631347,T_CD4_memory
616069,T_CD4_memory
256375,T_CD4_naive
362071,T_CD4_memory
203820,T_CD4_memory
60266,T_CD4_memory
210906,T_CD4_memory
439143,T_CD4_memory
8552,T_CD4_memory
521085,T_CD4_memory
137127,T_CD8_memory
205025,T_CD4_naive
224469,T_CD4_memory
33837,T_CD4_memory
575806,T_CD4_memory
869480,T_CD4_memory
190560,T_CD4_naive
586880,T_CD4_memory
596089,T_CD4_memory
758046,T_CD4_naive
621445,T_CD4_memory
33410,T_CD4_memory
235225,T_CD4_memory
98644,T_CD4_memory
148889,T_CD4_memory
395160,T_CD4_memory
132846,T_CD4_memory
378980,T_CD4_memory
231481,T_CD4_memory
822837,T_CD4_memory
306759,T_CD4_memory
747299,B
217139,T_CD4_memory
257094,T_CD4_memory
463999,T_CD4_memory
791913,B
49310,T_CD4_memory
726806,T_CD4_memory
747022,T_CD4_naive
630155,T_CD4_memory
506343,T_CD4_naive
830029,T_CD4_memory
158695,T_CD4_naive
803121,T_CD4_memory
542689,T_CD4_memory
397337,T_CD4_memory
105197,T_CD4_memory
77965,T_CD4_memory
236190,T_CD4_naive
601624,T_CD4_memory
776570,T_CD4_memory
792941,B
159084,T_CD4_memory
200862,T_CD4_naive
664053,T_CD4_memory
292421,T_CD4_memory
492748,T_CD4_memory
821693,T_CD4_naive
163909,T_CD4_memory
622199,T_CD4_memory
437930,T_gamma_delta
230770,T_CD4_memory
533010,T_CD4_memory
548665,T_CD4_memory
121159,T_CD4_memory
249288,T_CD8_memory
378824,B
379255,T_CD4_memory
563669,T_gamma_delta
257491,T_CD4_memory
219706,T_CD4_memory
333349,T_CD4_memory
254384,T_CD8_memory
637397,Natural_killer
830392,T_CD4_memory
27593,T_CD4_naive
82443,T_CD4_memory
321493,T_CD4_memory
692983,T_CD4_memory
762288,T_CD4_memory
633440,B
13168,T_CD4_naive
496745,T_CD4_memory
747024,T_CD4_memory
202772,Natural_killer
573503,T_CD4_memory
404453,T_CD4_memory
869139,T_gamma_delta
480371,T_CD4_memory
153678,B
459302,T_CD4_naive
291967,T_CD4_memory
466273,T_CD4_memory
162185,T_CD8_naive
350205,T_CD4_memory
788351,T_CD4_memory
442138,T_CD4_memory
498239,T_CD4_memory
96365,T_CD4_memory
470348,T_CD8_naive
571510,T_CD4_memory
757172,T_CD4_memory
450059,T_CD4_memory
504508,Natural_killer
120104,T_CD4_memory
493728,T_CD4_memory
254589,T_CD4_naive
141689,T_CD4_memory
875564,T_CD4_memory
192426,T_CD4_memory
485011,T_CD4_memory
846136,T_CD4_memory
750854,T_CD4_memory
80528,T_CD8_memory
451361,T_CD4_naive
695549,T_CD4_naive
546801,T_CD4_memory
648944,T_CD4_memory
286292,T_CD8_naive
329432,T_CD4_memory
378603,T_CD4_memory
202393,T_gamma_delta
266092,T_CD4_memory
373372,T_CD8_memory
173677,T_CD4_memory
731104,T_CD4_memory
801616,T_CD4_memory
127034,T_CD4_memory
456872,T_CD4_memory
705173,B
796003,Natural_killer
97633,T_CD4_memory
337878,T_CD4_memory
635949,T_CD4_memory
626123,T_CD4_memory
273456,T_CD4_memory
739400,T_CD4_memory
593247,T_CD4_memory
663540,T_CD4_memory
819171,T_CD4_memory
632778,T_CD4_naive
529249,T_CD4_naive
432799,T_CD4_memory
445457,T_CD4_memory
6134,T_CD8_memory
72040,B
744877,T_CD4_naive
62634,T_CD8_memory
194505,T_CD4_memory
324544,T_CD4_naive
458975,T_CD4_memory
216496,T_CD4_naive
293569,T_CD4_memory
479135,T_CD4_naive
171754,T_CD4_naive
625687,T_CD4_memory
858668,T_CD4_memory
653099,B
488034,T_CD4_naive
525089,T_CD4_memory
770218,T_CD4_memory
191519,T_CD4_memory
297025,T_CD4_memory
762968,B
449267,T_CD4_memory
369110,T_CD4_memory
652760,T_CD4_memory
208490,T_CD8_memory
102022,T_CD4_naive
458916,T_CD4_memory
609834,B
301817,T_CD4_memory
592,T_CD4_naive
126410,T_CD4_memory
219101,T_CD4_memory
707232,T_CD8_memory
425232,T_CD4_memory
455562,Natural_killer
496160,T_CD4_memory
61938,T_CD4_memory
172506,T_CD4_memory
725145,T_CD4_memory
279545,B
18393,T_CD4_memory
556352,T_CD8_memory
852205,T_CD4_memory
200287,T_CD4_memory
570966,T_CD4_memory
648542,T_CD4_memory
595451,T_CD4_naive
45720,T_CD4_memory
128065,T_CD4_memory
673223,T_CD4_memory
532869,T_CD4_memory
735977,T_gamma_delta
126290,T_CD4_naive
379433,B
358640,T_CD4_memory
505412,T_CD4_memory
130652,T_CD4_naive
523604,T_CD4_memory
656865,T_CD4_memory
251705,T_CD4_memory
722812,T_CD4_memory
356156,T_CD4_memory
345440,T_CD4_memory
39670,T_CD4_memory
125292,T_CD8_naive
750293,T_CD4_memory
577900,T_CD4_memory
238746,T_CD4_naive
574177,T_CD4_naive
120267,T_CD4_memory
617444,T_CD4_memory
845023,T_CD4_memory
133202,T_CD4_memory
346178,T_CD8_memory
649928,T_CD8_memory
238596,T_CD4_memory
586170,T_CD4_memory
93316,T_CD4_memory
836374,T_CD4_memory
323446,T_CD4_memory
385496,T_CD4_memory
554688,T_CD4_memory
58870,T_CD4_naive
318451,T_CD4_memory
384813,T_CD4_memory
619731,T_CD4_memory
257918,T_CD4_naive
281653,T_CD4_memory
66518,T_CD4_memory
500705,T_CD4_naive
7206,T_CD4_memory
450454,T_CD4_memory
381087,T_CD4_memory
581374,T_CD4_memory
468508,T_CD4_memory
31532,B
451351,T_CD4_memory
268955,T_CD4_naive
561214,T_CD4_memory
34188,Natural_killer
163320,T_CD4_memory
483566,T_CD4_naive
96276,T_CD4_memory
607183,T_CD4_memory
691081,T_CD4_memory
218204,T_CD4_memory
822797,T_CD4_memory
91723,T_CD4_naive
488607,T_CD8_memory
99115,T_CD4_memory
169893,T_CD4_memory
172404,T_CD4_memory
380630,T_CD8_memory
235409,T_CD4_memory
216383,T_CD4_memory
548336,T_CD4_memory
609938,T_CD4_memory
235264,T_CD4_naive
433777,T_CD4_memory
613103,T_CD4_memory
472879,T_CD4_memory
505731,T_CD4_memory
625620,T_CD4_memory
661751,B
36445,T_CD4_memory
537382,Natural_killer
560881,T_CD4_memory
555728,B
457370,T_CD4_memory
100484,T_CD8_memory
617946,T_CD4_memory
682603,T_CD4_memory
865009,T_CD4_memory
396665,T_CD4_memory
381577,T_CD4_memory
309695,T_CD4_memory
513690,T_CD4_memory
108251,T_CD4_naive
637200,B
361038,T_CD4_memory
7023,T_CD4_memory
824758,T_CD4_naive
322965,T_CD4_memory
592628,T_CD4_memory
642751,T_CD8_memory
45911,T_gamma_delta
587425,T_CD4_memory
510848,T_gamma_delta
363254,T_gamma_delta
712162,T_CD4_naive
793633,T_CD4_naive
475301,T_CD4_memory
845082,T_CD4_memory
523799,T_CD4_memory
676729,T_CD4_memory
771378,T_CD4_memory
596814,T_CD4_naive
357027,T_CD4_memory
237709,T_CD4_memory
720577,T_CD4_naive
855063,T_CD4_memory
231147,T_CD4_memory
805,T_CD4_memory
207320,T_CD4_memory
863922,T_CD4_naive
610047,T_CD4_memory
229793,T_gamma_delta
626080,B
533143,T_CD4_memory
260037,T_CD4_memory
272259,B
466043,T_CD8_memory
435831,T_CD4_memory
606122,T_CD4_naive
501355,T_CD4_memory
879904,B
10351,T_CD4_memory
627171,T_CD4_memory
412191,T_CD4_memory
357321,T_CD4_memory
74783,T_CD4_memory
810314,T_CD4_memory
859314,T_CD4_naive
13202,T_CD4_memory
58888,T_CD4_memory
556715,T_CD4_memory
605714,T_CD4_memory
83410,T_CD4_memory
338296,T_CD4_memory
379475,T_CD4_memory
526976,Natural_killer
672429,T_CD4_memory
603940,T_CD4_memory
720260,T_CD4_memory
456528,T_CD4_memory
197345,T_CD4_memory
187574,T_CD4_memory
526608,T_CD4_memory
645270,T_CD8_memory
31556,T_CD4_memory
142925,T_CD4_naive
882356,T_CD4_naive
394278,T_CD4_memory
499569,T_CD4_memory
401139,T_CD4_memory
456193,T_gamma_delta
45103,T_CD4_memory
443691,T_CD4_memory
189482,T_CD4_memory
611145,T_CD4_memory
742770,T_CD4_memory
160003,T_CD4_memory
402499,T_CD4_memory
190607,T_CD4_naive
482807,T_CD4_memory
766338,T_CD4_memory
37783,T_CD4_memory
427819,T_CD4_memory
74594,T_CD4_memory
65714,T_CD8_memory
342199,T_CD4_memory
813533,T_CD4_memory
880246,T_CD4_memory
163834,T_CD4_memory
620639,T_CD4_naive
312882,T_CD4_memory
215819,T_CD4_memory
456097,T_CD4_memory
543350,T_CD4_memory
296578,T_CD4_memory
303866,T_CD4_memory
335455,T_CD4_naive
718184,T_CD8_memory
473285,T_CD4_memory
201932,T_CD4_naive
846765,T_CD4_memory
152720,T_CD8_memory
213359,T_CD4_memory
446606,T_CD4_memory
532743,T_CD4_memory
710065,T_CD4_memory
128491,T_CD4_memory
744841,T_CD4_memory
138763,T_CD4_memory
346498,T_CD4_memory
578590,T_CD4_naive
575065,T_CD8_memory
799432,T_CD4_memory
419246,T_CD4_memory
387036,T_CD8_memory
639556,T_CD4_memory
630877,T_CD4_memory
846331,T_CD4_memory
504454,T_CD4_memory
207554,T_gamma_delta
580627,T_CD4_memory
231696,T_CD4_memory
209526,T_CD4_memory
129698,T_CD4_memory
187275,T_CD8_naive
359261,T_CD4_memory
471929,T_CD4_memory
710637,T_CD4_naive
868230,T_CD4_memory
148067,T_CD4_memory
109114,T_CD4_memory
519694,T_CD4_memory
678674,T_CD4_naive
4309,T_CD4_memory
90344,T_CD4_memory
583684,T_CD4_memory
354427,T_gamma_delta
360671,T_CD4_memory
722510,T_CD4_memory
344117,T_CD4_memory
566867,T_CD8_memory
244699,B
462822,T_CD4_naive
189663,T_CD4_naive
371556,T_CD4_naive
603771,T_CD4_memory
876214,T_CD4_memory
165919,T_gamma_delta
878195,T_CD4_memory
760215,T_CD4_memory
88674,T_CD4_memory
165515,T_CD8_memory
324824,T_CD4_memory
324430,T_CD4_memory
492267,T_CD4_memory
104586,B
75212,T_CD4_naive
324191,T_CD4_memory
570126,T_CD4_naive
709999,T_CD4_memory
690818,T_CD4_memory
585647,T_CD4_naive
855469,T_CD4_memory
71127,T_CD4_memory
659020,T_CD4_memory
258639,T_CD4_memory
568181,T_CD4_memory
45917,T_CD4_memory
251152,Natural_killer
61280,T_CD8_memory
468207,T_CD8_memory
227531,Natural_killer
243871,T_CD4_memory
247858,T_CD4_memory
224756,T_CD4_memory
431911,T_CD4_memory
496602,T_CD4_memory
839931,T_CD4_memory
774645,T_CD4_memory
64262,T_CD4_memory
191128,T_CD4_memory
267743,T_CD4_memory
784745,T_CD8_memory
397488,T_CD4_memory
648195,T_CD4_memory
235425,B
524549,T_CD4_memory
423563,T_CD4_memory
457268,Natural_killer
264328,T_CD4_memory
342387,T_CD4_memory
658277,T_CD4_memory
833819,T_CD4_memory
839636,T_CD4_memory
1354,T_CD4_memory
448794,T_CD4_memory
528525,T_CD4_memory
650009,T_CD4_naive
69660,T_CD8_memory
317227,T_gamma_delta
56022,T_CD4_memory
213322,T_CD4_naive
726927,T_CD4_memory
399947,T_CD8_memory
577531,T_CD4_memory
595299,T_CD4_memory
525146,T_CD4_memory
117679,T_CD8_memory
270433,T_CD4_memory
331788,T_CD4_memory
632592,T_CD4_memory
190563,T_CD4_memory
272120,T_CD4_memory
73549,T_CD4_memory
818821,T_CD4_naive
261925,T_CD4_memory
780820,T_CD4_memory
173117,T_gamma_delta
25238,T_CD4_memory
482495,T_CD4_memory
93458,T_CD8_memory
570469,T_CD4_memory
201521,T_CD4_memory
750756,T_CD8_memory
444865,B
865413,T_CD4_memory
529237,T_CD4_memory
102397,B
95450,T_CD8_memory
365352,T_CD4_memory
427912,T_CD4_memory
38511,T_CD4_memory
429564,T_CD4_naive
617799,T_CD4_naive
233462,T_CD4_memory
325884,T_CD4_memory
536091,T_CD4_naive
821614,B
97811,T_CD4_memory
104610,T_CD4_naive
583305,T_CD4_memory
733967,T_CD4_memory
517937,T_CD4_memory
708057,T_CD4_memory
661721,T_gamma_delta
803858,T_CD4_memory
640407,T_CD4_memory
129890,Natural_killer
466904,T_CD4_memory
440053,T_CD4_memory
273249,T_CD4_memory
303626,T_CD4_memory
591075,T_CD4_memory
132425,T_CD4_memory
386288,T_CD4_memory
364061,T_CD4_memory
14605,T_CD4_memory
151422,B
651097,T_gamma_delta
590770,T_CD4_memory
466585,T_CD4_naive
753657,Natural_killer
535170,T_CD4_memory
73961,T_CD4_memory
626097,T_CD4_memory
743913,T_CD4_memory
40848,T_CD4_naive
28352,T_CD4_memory
624932,T_CD4_memory
228343,T_CD8_memory
712078,T_CD4_memory
805229,T_CD4_memory
1168,T_CD4_memory
382219,T_CD4_memory
235654,T_CD4_memory
715416,T_CD8_memory
191573,B
773467,T_CD4_memory
692627,T_gamma_delta
377894,T_CD4_memory
652023,T_CD4_naive
169691,T_CD4_memory
190241,T_CD4_memory
30136,T_CD4_naive
542746,T_CD4_memory
3153,B
43456,T_CD4_memory
151191,T_CD4_memory
421062,T_CD8_naive
433203,T_CD4_memory
448072,T_CD4_memory
750433,T_CD4_memory
785807,T_CD4_memory
280416,T_CD4_memory
543115,T_CD4_memory
40513,T_CD4_memory
205200,Natural_killer
342483,T_CD4_memory
113429,T_CD4_memory
550410,T_CD4_memory
367158,T_CD4_memory
21643,Natural_killer
59466,T_CD4_memory
308054,T_CD4_memory
576739,T_CD4_naive
297576,T_CD4_memory
103553,T_CD4_memory
672308,T_CD4_naive
102334,T_CD4_memory
62117,T_CD4_memory
62652,T_CD4_memory
647368,T_CD4_memory
847287,T_CD4_memory
701958,T_CD8_memory
130729,T_CD4_memory
868037,T_CD4_naive
41052,T_CD4_memory
134070,T_CD8_memory
618666,T_CD4_naive
321663,T_CD8_memory
843640,T_CD4_memory
858366,T_CD4_memory
66129,T_CD4_memory
165504,T_CD4_memory
572271,T_CD4_memory
90783,Natural_killer
490706,T_CD8_memory
865937,T_CD4_memory
229058,T_CD4_memory
6873,T_gamma_delta
237787,T_CD4_memory
130477,T_CD4_memory
727941,T_CD4_memory
98154,T_CD4_memory
139615,T_CD4_memory
847045,T_CD4_memory
462971,T_CD4_memory
133142,Monocyte_nonclassical
362927,T_CD4_memory
504749,T_CD4_memory
831723,B
283420,T_CD4_memory
539808,T_CD4_naive
635906,T_CD4_memory
767470,T_CD4_memory
552299,T_CD4_naive
771215,T_CD4_memory
755327,T_CD4_memory
283016,T_CD4_memory
754965,T_CD4_memory
630274,T_CD4_memory
650973,T_CD4_memory
169940,T_CD4_memory
598399,T_CD4_memory
522147,T_CD4_memory
305474,B
877838,T_CD4_memory
111492,T_CD4_naive
847435,T_CD4_memory
315806,T_CD4_memory
843975,T_CD4_memory
405500,T_CD4_naive
741382,T_CD4_memory
518524,Natural_killer
47302,T_CD4_memory
147978,T_CD4_memory
331255,T_CD4_memory
230066,T_CD4_naive
466567,T_CD4_memory
743586,Natural_killer
819262,T_CD4_memory
589837,B
797780,T_CD8_memory
211158,T_CD4_memory
688694,T_CD4_memory
150609,B
552980,T_CD4_memory
123543,Natural_killer
158582,T_CD4_memory
99444,T_CD4_naive
35687,B
744165,T_CD8_memory
212285,T_CD4_memory
848770,T_CD4_memory
591568,T_CD4_memory
7552,T_CD4_memory
645656,Natural_killer
297451,T_CD4_memory
564117,T_CD4_memory
842401,T_CD4_naive
299170,B
463241,T_CD4_memory
73479,T_CD4_memory
211245,T_CD4_memory
486027,Natural_killer
764218,T_CD4_memory
96945,T_CD4_memory
189430,B
335895,T_CD4_memory
463578,T_CD4_naive
722156,T_CD4_memory
1715,T_CD4_memory
645934,T_CD4_memory
27333,T_CD8_naive
166957,T_CD8_memory
481308,T_CD4_memory
837343,T_CD4_memory
266454,T_CD4_memory
274232,T_CD8_memory
658724,T_CD4_memory
318294,T_CD4_memory
515670,T_CD4_memory
35445,T_CD4_memory
105357,T_CD4_memory
331151,T_CD4_memory
110563,T_CD4_memory
235195,T_CD4_memory
221022,T_CD4_memory
511791,T_CD4_memory
320873,T_CD4_memory
329575,T_CD4_memory
327663,T_CD4_memory
133483,T_CD4_memory
602314,T_CD8_memory
218197,T_CD4_memory
277077,T_CD4_memory
740475,T_CD4_naive
224978,T_CD4_memory
243495,B
353093,T_CD4_memory
338642,T_CD4_memory
253438,T_CD8_naive
264059,T_CD8_memory
145537,T_CD4_naive
561462,T_CD8_naive
213797,T_CD4_memory
643782,T_CD4_memory
726046,T_CD4_memory
449519,T_CD8_memory
345374,T_CD4_memory
457993,T_CD4_memory
773507,T_CD4_memory
248876,T_CD4_memory
648985,T_CD4_memory
186096,T_CD4_memory
646246,Natural_killer
815471,T_CD4_memory
266984,T_CD4_memory
382950,T_CD4_memory
460858,T_CD4_memory
55027,T_CD4_memory
176639,T_gamma_delta
658340,T_CD4_memory
485330,T_CD4_memory
186653,T_CD4_memory
67104,T_CD4_memory
345578,T_CD4_memory
98632,T_CD4_memory
489694,T_CD4_memory
108402,T_CD4_memory
402140,T_CD4_memory
313796,T_CD4_memory
422394,T_CD4_memory
97900,T_CD4_memory
759360,T_CD8_memory
278814,T_CD4_memory
652775,T_CD4_memory
170446,T_CD4_memory
529694,T_CD4_memory
766249,Natural_killer
778491,Natural_killer
162262,T_CD4_memory
786751,T_CD4_memory
23515,T_CD4_memory
325141,T_CD8_naive
740694,T_CD8_memory
158957,T_CD8_memory
136692,T_CD4_memory
650465,T_CD4_memory
696784,T_CD8_memory
34927,T_gamma_delta
858615,T_CD4_memory
138888,T_CD4_memory
511237,T_CD8_memory
48165,T_CD4_memory
319873,T_CD4_memory
352071,T_CD4_memory
421279,T_CD4_memory
226502,T_CD4_memory
321587,T_CD4_naive
319744,T_gamma_delta
705602,T_CD4_naive
844453,T_CD8_memory
701298,T_CD8_naive
158513,T_CD4_memory
188382,T_CD4_memory
662297,T_CD8_memory
177958,T_CD4_memory
629754,T_CD4_memory
217240,T_CD4_memory
14902,T_CD4_memory
813464,T_CD4_naive
422850,T_CD4_memory
841500,T_CD4_memory
250001,T_CD4_naive
408260,T_CD4_memory
748689,T_CD4_memory
84856,T_CD8_memory
181071,T_CD4_memory
854027,T_CD8_memory
323613,Natural_killer
738469,T_CD4_memory
236526,T_CD8_memory
776462,T_CD4_memory
25244,T_CD8_memory
296083,T_CD4_memory
458720,B
859127,T_CD4_memory
821558,T_gamma_delta
98246,T_CD4_memory
465754,T_CD4_memory
499031,T_CD4_memory
28777,Natural_killer
352430,Natural_killer
550629,T_CD4_memory
798245,T_CD4_naive
256710,T_CD4_memory
536698,T_CD4_memory
404013,T_CD4_memory
491695,T_CD4_memory
631645,T_CD4_memory
126789,T_CD4_memory
818943,T_CD4_memory
195425,T_CD4_memory
494848,Natural_killer
836170,T_CD4_memory
65360,T_CD4_memory
432672,B
381554,T_CD4_memory
382782,T_CD4_memory
861260,T_CD4_memory
397211,T_CD4_memory
827056,T_CD4_memory
82214,T_CD4_memory
137218,Natural_killer
309011,T_CD4_memory
402690,T_CD4_memory
17019,T_CD4_memory
680060,T_CD4_memory
694596,T_CD4_memory
38155,T_CD4_naive
380281,T_CD8_memory
794567,T_CD4_memory
688465,T_CD4_memory
875040,Natural_killer
143172,T_CD4_memory
518902,T_CD4_memory
601185,T_CD4_memory
625099,T_CD4_memory
400149,T_CD4_memory
199252,T_CD4_memory
297084,Natural_killer
290761,T_gamma_delta
288068,T_CD4_memory
773045,T_CD4_memory
97198,T_CD4_memory
188900,T_CD4_memory
134248,B
302942,T_CD4_memory
840196,T_CD4_memory
538984,T_CD8_memory
861337,T_CD8_memory
393162,T_CD8_memory
624996,T_CD8_memory
