Cell_Index,Cell_Type_Experimental
725175,T_CD4_memory
247285,T_CD4_memory
527116,T_CD4_memory
659128,T_CD4_memory
696788,T_CD8_memory
526946,T_CD8_memory
810491,T_CD8_memory
736396,T_CD4_memory
358167,T_CD4_memory
385063,B
71324,T_CD4_naive
626947,T_CD8_memory
229152,T_CD4_memory
633930,T_CD4_memory
715706,T_CD4_memory
579585,T_CD4_memory
751730,T_CD4_memory
796310,T_CD4_memory
38108,T_CD4_memory
604415,T_CD8_memory
624339,T_CD4_naive
849796,T_CD4_memory
40555,T_CD8_memory
647843,T_CD4_memory
787057,T_CD4_memory
308369,T_CD4_memory
577178,T_CD4_memory
327293,T_CD4_memory
820253,T_CD4_memory
148673,T_CD4_memory
577550,T_CD4_memory
579051,T_CD4_memory
662093,T_CD4_memory
267508,T_CD4_memory
101957,T_CD4_memory
593696,T_CD4_memory
214038,T_CD4_memory
534782,T_CD4_memory
737915,T_CD4_memory
747480,Natural_killer
124411,T_CD4_memory
251699,T_CD4_naive
292371,T_CD4_memory
319212,T_CD4_naive
334097,T_CD4_memory
510797,T_CD4_memory
613853,Natural_killer
710256,T_CD4_memory
101866,T_CD4_naive
647027,T_CD4_memory
123508,T_CD4_memory
842271,T_CD4_memory
760093,T_CD8_memory
288782,T_CD4_memory
271153,Natural_killer
204400,T_CD4_memory
481222,T_CD4_memory
22588,T_CD4_memory
404127,B
817946,T_CD4_memory
722502,T_CD4_memory
872587,T_CD4_memory
411180,T_CD4_memory
673334,T_CD4_memory
33168,T_CD4_memory
313582,T_CD4_naive
407532,T_CD8_memory
782248,T_CD4_memory
677603,T_CD4_naive
132334,T_CD4_memory
800721,T_CD8_memory
865064,T_CD4_memory
556299,T_CD4_memory
856862,T_CD4_naive
138165,T_CD4_memory
524306,T_CD8_memory
747837,T_CD4_memory
768240,T_CD4_naive
644022,T_CD4_memory
730408,T_CD4_naive
145867,T_CD4_memory
600866,T_CD4_memory
54865,T_CD4_memory
226879,T_CD4_naive
426783,T_CD4_memory
216907,T_CD4_memory
177021,T_CD4_memory
449618,T_CD4_memory
799608,T_CD4_memory
24445,T_CD4_memory
305518,T_CD4_naive
807469,T_CD4_memory
488005,T_CD4_naive
868581,T_gamma_delta
200638,T_CD4_naive
771924,T_CD4_naive
702792,T_CD8_memory
713856,T_CD8_naive
138925,B
220433,T_CD4_naive
240625,T_gamma_delta
268805,T_CD4_memory
506896,T_CD4_memory
878125,T_CD4_naive
209633,T_CD8_memory
261397,T_CD4_memory
701043,T_CD4_memory
184824,B
696909,T_CD4_memory
752552,T_CD4_memory
265708,T_CD4_memory
837004,T_CD4_memory
118363,Natural_killer
644943,T_CD4_memory
204326,T_CD4_memory
416955,T_CD8_memory
441032,T_CD4_memory
25924,T_CD4_memory
387750,B
763911,T_CD4_memory
188698,Natural_killer
368918,T_CD4_naive
454964,T_gamma_delta
206210,T_gamma_delta
524801,B
736476,T_CD4_memory
742701,T_CD4_memory
784055,Natural_killer
33907,T_CD4_memory
206953,T_CD4_memory
725370,T_CD4_memory
235081,T_CD4_memory
756617,T_CD4_naive
840619,T_CD4_memory
606145,T_CD4_memory
727058,T_CD4_memory
464485,T_gamma_delta
545981,T_CD4_naive
206612,T_CD4_naive
213516,T_CD8_memory
755556,T_CD4_naive
869765,T_CD4_memory
870194,T_CD4_memory
245915,T_CD4_memory
297950,T_CD4_memory
703036,T_CD4_memory
168612,T_CD4_memory
803968,T_CD4_memory
193326,T_CD4_memory
754853,T_CD4_naive
863222,T_CD4_naive
21896,T_CD4_memory
822657,T_CD4_memory
191443,T_CD4_naive
412429,T_CD4_memory
206690,T_CD4_naive
689487,T_CD4_memory
668272,T_CD4_memory
811474,T_CD4_naive
605117,T_CD4_memory
760958,T_CD4_memory
115480,T_CD4_naive
193086,T_CD4_memory
737067,T_CD4_memory
774993,T_CD8_memory
110724,T_CD4_memory
683481,T_CD4_memory
474042,T_CD8_memory
592050,T_CD4_memory
876472,T_CD4_memory
13747,T_CD4_memory
441478,T_CD4_memory
570562,B
214282,T_CD4_memory
724260,T_CD4_naive
80804,T_CD8_memory
263361,T_CD4_memory
86331,T_CD8_memory
379691,Natural_killer
706269,T_CD4_memory
157271,T_CD4_memory
275642,T_gamma_delta
297776,T_CD4_memory
595395,T_CD4_memory
374379,Natural_killer
455820,T_CD4_naive
81130,T_CD4_memory
614618,T_CD4_memory
744444,Natural_killer
789112,T_CD4_memory
827900,T_CD4_memory
483576,T_CD8_memory
673697,B
721891,T_CD4_memory
758673,T_CD4_memory
822430,T_CD4_naive
741316,T_CD4_naive
161734,T_CD4_memory
875458,T_CD4_naive
153308,T_CD4_naive
763593,T_CD4_memory
406374,T_CD4_memory
831950,T_CD4_memory
688562,T_CD4_naive
827275,T_CD8_memory
855059,T_CD4_naive
743786,T_CD4_memory
248968,T_CD4_naive
454552,T_CD4_memory
599369,T_CD4_naive
405337,T_CD4_memory
687679,T_CD4_naive
179116,T_CD4_memory
503436,Natural_killer
560166,T_CD4_memory
724020,T_CD4_memory
767663,T_CD4_memory
877326,T_CD4_naive
742136,T_CD4_memory
129977,T_CD4_naive
309783,T_CD8_memory
829883,T_CD4_memory
35341,T_CD4_memory
267193,T_CD4_naive
689664,T_CD8_memory
795826,T_CD4_memory
245835,T_CD4_memory
362125,T_CD4_memory
436067,T_gamma_delta
485901,Natural_killer
690057,T_CD4_memory
747967,T_CD4_memory
794392,Natural_killer
236529,T_CD4_memory
482271,T_CD4_naive
703858,B
751400,T_CD4_memory
46299,T_CD4_memory
752383,T_CD4_naive
823903,T_CD4_naive
102175,T_CD4_memory
132643,T_CD4_memory
203178,T_CD4_naive
514772,T_CD8_memory
387178,T_CD4_memory
495432,T_CD4_memory
702871,T_CD4_memory
763402,Dendritic
829657,T_CD8_memory
559004,T_CD4_memory
697117,T_CD4_memory
768457,T_CD4_memory
757943,T_CD4_memory
233752,T_CD8_memory
683513,T_CD4_naive
373743,T_CD4_naive
505238,Natural_killer
722912,T_CD4_memory
6936,T_CD8_naive
604386,T_CD4_memory
499903,Natural_killer
578161,T_CD4_naive
671635,Natural_killer
851826,T_CD4_naive
882279,Natural_killer
859243,T_CD4_memory
362963,T_CD4_memory
311045,T_CD4_memory
653952,T_CD4_memory
759008,T_CD4_naive
666826,T_CD4_naive
198787,Natural_killer
307510,Natural_killer
624795,Natural_killer
844422,Natural_killer
83372,T_CD4_naive
741618,Natural_killer
340746,T_CD4_memory
344656,T_CD4_memory
656220,T_CD4_memory
367814,T_CD4_naive
852517,T_CD4_naive
17614,T_CD4_naive
592307,T_CD4_memory
662736,T_CD4_memory
763859,T_CD4_memory
46363,Natural_killer
93600,T_CD4_memory
634847,T_CD8_memory
262409,T_CD4_memory
356424,B
765262,T_CD4_memory
801238,T_CD4_memory
745066,T_CD4_memory
768031,T_CD4_memory
141668,T_CD8_memory
710930,T_CD8_naive
298610,T_CD8_memory
494696,T_CD8_memory
599585,Natural_killer
862286,T_CD4_memory
459675,T_CD4_memory
232528,T_CD4_naive
105367,T_CD8_memory
777746,T_CD4_memory
512833,T_CD4_memory
139278,T_CD8_memory
88067,T_CD4_memory
239533,Natural_killer
451823,T_CD4_memory
472260,T_CD8_memory
508839,Natural_killer
295165,T_CD8_memory
432110,B
43466,Natural_killer
836003,T_CD8_memory
396445,T_CD4_memory
473529,T_CD8_memory
704331,Natural_killer
191587,T_CD4_memory
242973,T_CD4_naive
372756,T_CD8_memory
761492,T_CD4_memory
873474,T_CD8_memory
118545,T_CD8_memory
239908,T_CD4_naive
240619,T_gamma_delta
486658,T_CD8_naive
606778,T_CD4_memory
828192,Natural_killer
120615,T_CD4_memory
311528,T_CD4_memory
572194,T_CD4_naive
598365,B
760233,T_CD4_memory
766692,T_CD4_memory
131181,T_CD4_memory
576821,T_CD4_memory
484535,T_CD4_naive
656819,T_CD4_memory
768781,T_CD4_memory
215429,T_CD4_memory
489071,T_CD4_naive
88148,T_CD4_memory
808795,T_CD4_memory
809978,Natural_killer
333079,T_CD4_memory
741683,T_gamma_delta
796164,T_CD4_naive
24339,T_CD4_naive
686365,Natural_killer
777891,T_CD4_naive
815783,Natural_killer
876014,T_CD4_naive
136300,T_CD8_memory
752712,T_CD4_memory
777085,T_CD4_memory
751514,Natural_killer
147354,T_CD4_memory
596606,T_CD4_naive
866066,T_CD4_memory
263156,T_CD4_memory
361536,T_CD4_memory
597512,T_CD4_memory
797952,T_CD8_memory
231257,T_CD4_naive
787201,T_CD4_memory
432030,T_CD4_naive
436643,T_CD4_memory
90506,Natural_killer
262609,T_CD4_memory
401371,T_CD4_memory
130031,T_CD4_naive
594362,T_CD4_memory
675979,T_CD4_memory
723727,T_CD8_memory
495314,T_CD4_memory
651976,T_CD4_memory
836331,T_CD4_naive
853675,T_CD4_memory
242388,T_CD4_memory
383198,T_CD4_memory
669143,T_CD4_memory
803735,Natural_killer
36093,T_gamma_delta
357038,Natural_killer
640020,B
807553,T_CD8_memory
414773,T_CD8_memory
875081,T_CD4_memory
57284,T_CD4_memory
789460,T_CD4_memory
225564,T_CD8_memory
216183,T_CD4_memory
758684,T_CD4_memory
875951,T_CD8_memory
111028,T_CD4_memory
319959,T_CD4_memory
876329,Natural_killer
519298,T_CD4_naive
698534,T_CD4_memory
771139,T_CD8_memory
872581,T_CD8_naive
383919,T_CD4_memory
794056,T_CD4_memory
828658,T_CD4_memory
861065,B
525683,T_CD8_memory
112898,T_CD4_memory
65405,T_CD4_naive
287157,T_CD4_naive
235160,T_CD4_memory
419127,T_CD4_naive
845367,Natural_killer
421563,T_CD4_memory
559597,Natural_killer
873750,T_CD4_memory
850297,T_CD4_memory
857884,T_CD4_memory
873623,T_CD4_memory
309130,T_CD4_memory
820400,T_CD4_memory
194780,T_CD4_naive
229771,T_CD4_memory
797904,T_CD4_memory
28631,T_CD4_memory
667867,T_CD4_naive
797128,T_CD4_naive
244017,B
592201,T_CD4_memory
638897,T_CD4_memory
729104,T_CD4_memory
606508,T_CD4_naive
820386,T_CD4_naive
527515,T_CD4_memory
582908,T_CD8_memory
814618,B
336392,T_CD4_memory
513669,T_CD4_memory
4000,Natural_killer
407233,T_CD4_memory
772139,Natural_killer
547977,T_CD4_naive
840007,T_CD4_memory
432009,T_CD8_memory
638030,T_CD4_memory
26746,T_CD4_memory
345336,T_CD4_memory
687470,B
711297,T_CD4_memory
243267,Natural_killer
878168,T_CD4_memory
33298,B
825474,T_CD4_naive
649719,T_CD4_naive
776980,T_CD8_naive
91882,T_CD4_naive
537194,T_CD8_memory
711926,T_CD4_memory
745760,T_CD4_memory
605618,T_CD4_memory
827729,T_CD4_memory
138455,B
557805,T_CD8_memory
760161,T_CD4_memory
815741,T_CD4_memory
183313,T_CD4_naive
673664,T_CD4_memory
294933,Natural_killer
483790,Natural_killer
387534,T_CD4_memory
490352,T_CD8_naive
46761,T_CD4_naive
302257,T_CD4_memory
742522,T_CD4_memory
770087,T_CD8_memory
804561,T_CD4_memory
197512,T_CD4_naive
697040,T_CD4_naive
131441,Natural_killer
554323,T_CD4_memory
669833,T_CD4_memory
35348,T_gamma_delta
156390,T_CD4_memory
854046,T_CD4_naive
287764,T_CD4_memory
545365,Natural_killer
764535,T_CD4_naive
876242,T_CD8_memory
705184,T_CD4_memory
777381,T_CD4_naive
356116,T_CD4_memory
41513,T_CD4_memory
664753,T_CD4_naive
613926,T_CD4_naive
789693,T_CD4_naive
264712,T_CD4_memory
294787,T_CD4_naive
273261,T_CD8_memory
436032,T_CD4_memory
294322,Natural_killer
822478,T_CD4_memory
301569,T_CD8_memory
582009,T_CD4_memory
194166,T_gamma_delta
354092,T_CD4_memory
31895,T_CD4_memory
163565,T_CD4_memory
557338,T_CD4_naive
114863,T_CD4_memory
838226,T_CD8_memory
337300,Natural_killer
596658,T_CD4_memory
122820,T_CD4_memory
649040,B
608207,T_CD4_naive
703067,T_CD4_naive
281355,Natural_killer
794323,T_CD4_memory
835369,T_CD4_memory
695925,T_CD8_memory
875293,Natural_killer
334346,T_CD4_memory
838849,T_CD4_naive
687325,Natural_killer
744184,T_CD4_memory
636492,T_gamma_delta
373341,T_CD4_memory
487739,T_CD4_memory
782038,T_CD4_memory
815798,T_CD4_naive
241509,T_CD4_naive
764052,T_CD4_naive
795976,Natural_killer
213973,T_CD4_memory
207329,T_CD8_memory
544702,T_CD4_memory
767878,T_gamma_delta
877322,T_CD4_memory
126842,B
834941,T_CD4_memory
853657,B
476868,T_CD4_memory
478687,T_CD4_naive
673439,T_CD4_memory
419532,T_CD4_memory
88708,Natural_killer
550589,T_CD4_memory
792825,T_CD4_naive
841464,Monocyte_classical
695963,T_CD4_naive
790437,B
882644,T_CD4_memory
745742,T_CD4_memory
235934,T_CD4_memory
412164,B
504511,T_gamma_delta
241984,T_CD4_naive
414035,T_CD4_naive
182870,T_CD8_memory
505791,T_CD4_memory
644653,Natural_killer
731218,T_CD4_memory
743721,T_CD4_naive
246883,T_CD4_memory
620349,T_CD8_memory
175356,T_CD4_memory
336969,B
218010,Natural_killer
327128,T_CD4_memory
208711,T_CD4_memory
334347,T_CD4_memory
75388,T_CD4_memory
515417,T_CD4_memory
213000,Natural_killer
6505,T_CD4_memory
442649,T_CD8_memory
247139,T_CD4_memory
302711,T_CD8_naive
770847,Natural_killer
483078,T_CD4_memory
369684,T_CD4_memory
855134,Natural_killer
35432,Natural_killer
118922,Natural_killer
732309,Natural_killer
777175,T_CD4_memory
807626,B
642822,Natural_killer
114226,Natural_killer
622358,T_CD4_memory
423176,T_CD4_memory
437093,T_CD4_memory
762551,T_CD4_memory
146645,Natural_killer
702271,T_CD4_naive
648567,T_CD4_memory
824561,T_CD4_memory
834027,T_CD4_memory
345431,T_CD4_memory
533781,B
479328,Natural_killer
649672,T_CD4_memory
100263,B
360060,T_CD4_memory
650230,T_CD4_memory
131177,T_CD4_naive
482041,T_CD4_naive
523232,B
641887,T_CD4_naive
744019,T_CD4_naive
568131,T_CD4_memory
132504,T_CD4_memory
155278,B
878027,T_CD4_memory
872211,T_CD4_naive
321912,T_CD4_memory
785513,T_CD4_memory
28233,T_CD4_memory
517178,T_CD8_memory
414840,Natural_killer
713887,T_CD4_naive
831819,T_CD4_memory
290616,Natural_killer
303899,B
320392,T_CD4_memory
81261,Natural_killer
419259,T_CD4_memory
767920,B
512159,Natural_killer
33675,T_CD8_memory
218109,T_CD8_memory
493010,T_CD4_memory
668572,Natural_killer
297238,Natural_killer
410296,T_CD4_memory
184770,B
234751,B
323375,T_CD4_naive
587516,T_CD4_memory
591239,T_CD4_naive
878493,T_CD4_memory
42322,T_CD4_memory
324075,T_CD4_memory
878758,T_CD4_naive
810430,Natural_killer
615766,T_CD4_naive
735476,Natural_killer
261793,B
607409,T_CD8_memory
653820,Natural_killer
502546,B
530823,B
605390,B
270405,B
415672,T_CD4_memory
439353,Natural_killer
544031,Natural_killer
858410,Natural_killer
861618,Natural_killer
28586,T_CD4_memory
359045,B
465662,T_CD4_memory
475151,T_CD4_memory
832875,Natural_killer
38059,B
804899,T_CD8_memory
821917,Natural_killer
132183,Natural_killer
211773,T_CD4_memory
611791,Natural_killer
225277,Natural_killer
332061,T_CD8_memory
711467,B
129459,B
295791,T_CD4_memory
350803,T_CD4_memory
426340,Natural_killer
248992,Natural_killer
494011,Natural_killer
113197,Natural_killer
295923,Natural_killer
599105,Natural_killer
69493,T_CD4_memory
613094,T_gamma_delta
238358,Natural_killer
342671,T_CD4_naive
820804,T_CD4_naive
48429,Natural_killer
160721,T_CD4_naive
167858,B
439436,Natural_killer
105046,B
700182,T_CD4_memory
741099,T_CD4_naive
764911,Natural_killer
862255,T_CD4_memory
176964,Natural_killer
193312,B
212019,B
277128,T_CD4_memory
354734,T_CD4_memory
366680,B
601942,T_CD4_memory
344540,T_CD4_memory
501602,B
620883,T_CD4_memory
417104,B
841824,T_CD8_memory
873189,T_CD4_memory
197565,T_CD4_naive
371850,B
398677,T_CD4_memory
465395,T_CD4_memory
224778,T_CD4_memory
288423,Natural_killer
325976,T_CD4_memory
420200,T_CD4_memory
798656,T_CD4_naive
110139,T_CD4_memory
298978,T_CD4_memory
590172,T_CD4_memory
788205,T_CD4_memory
792666,T_CD4_memory
8159,T_CD4_memory
287486,T_CD4_memory
464420,Natural_killer
252194,Natural_killer
301412,B
502620,B
627678,Natural_killer
17720,T_CD4_memory
240395,T_CD4_memory
214309,B
296982,Natural_killer
300983,Natural_killer
445518,B
827086,T_CD8_naive
65165,Natural_killer
575882,T_CD4_memory
107894,T_CD4_memory
151702,B
568379,T_CD4_memory
798959,Natural_killer
106938,B
126638,Natural_killer
423071,T_CD4_memory
484404,B
647520,Natural_killer
667157,T_CD4_memory
718301,Natural_killer
804261,B
60123,Natural_killer
69037,B
144607,Natural_killer
379046,T_CD4_memory
563631,T_CD4_memory
52877,T_CD4_memory
79179,Natural_killer
355145,B
394751,Natural_killer
658123,Natural_killer
35899,B
159742,B
403047,B
455450,B
560667,Natural_killer
597765,T_CD4_memory
707772,B
734750,B
856628,T_CD4_memory
130060,Natural_killer
247386,Natural_killer
446833,T_CD4_memory
841456,T_CD4_naive
864284,T_CD8_memory
120455,T_CD4_memory
219999,T_CD8_memory
426475,T_CD8_memory
514037,T_CD4_memory
596766,T_CD4_memory
700371,Natural_killer
786164,Natural_killer
56752,Natural_killer
151789,T_CD4_memory
221995,B
281231,B
376811,T_CD4_naive
452782,B
609935,Natural_killer
38759,T_CD4_memory
88894,T_CD4_memory
288194,B
538659,T_CD4_memory
787994,Natural_killer
38626,Natural_killer
259592,T_CD8_memory
366248,B
575554,Natural_killer
785251,B
200148,T_CD4_naive
353582,T_CD8_memory
484907,T_CD4_naive
491858,T_CD4_memory
696037,Natural_killer
756584,B
494193,B
512152,Natural_killer
98990,T_CD4_memory
151173,T_CD4_naive
200509,Natural_killer
263849,Natural_killer
378808,Natural_killer
410622,B
441204,T_CD4_memory
585628,T_CD4_memory
637825,B
761072,Natural_killer
162468,T_CD4_memory
584550,T_CD4_memory
624600,T_CD4_memory
745000,T_CD4_memory
752396,B
14836,B
170356,B
308557,T_CD4_memory
588545,Natural_killer
655598,Natural_killer
768293,T_CD4_memory
25536,T_CD4_naive
76794,T_CD4_memory
204425,T_CD4_memory
238217,B
301768,T_CD4_memory
318002,T_CD8_memory
473950,B
649493,Natural_killer
699464,T_CD4_naive
725119,B
727062,T_CD4_naive
733348,Natural_killer
196398,T_CD4_memory
361233,Natural_killer
450372,T_CD4_memory
458194,T_CD4_memory
461638,B
559114,T_CD4_memory
661544,B
666062,T_CD4_memory
775047,B
104560,Natural_killer
116624,Natural_killer
289673,T_CD4_memory
327591,T_CD4_memory
460998,T_CD4_memory
561831,T_CD4_memory
687221,Natural_killer
712704,T_gamma_delta
131534,B
247463,B
271230,B
627986,T_CD4_memory
111279,T_CD4_memory
479359,T_CD4_memory
557704,T_CD4_memory
586513,B
770303,T_CD4_memory
844241,T_CD4_memory
59296,Natural_killer
140943,B
161012,B
367445,T_CD4_memory
718368,B
760247,T_CD4_memory
855394,B
225191,T_CD4_memory
656939,T_CD4_memory
828913,Natural_killer
210841,T_CD4_memory
214948,T_CD4_memory
246448,T_CD4_memory
384860,B
434743,T_CD4_memory
538267,Natural_killer
544641,B
575689,B
640175,B
759507,T_CD4_memory
145324,T_CD4_memory
274361,B
306837,Natural_killer
331970,B
409437,Natural_killer
456157,T_CD4_memory
474081,T_CD4_memory
524477,T_CD4_memory
668770,T_CD4_memory
860466,T_CD4_memory
63143,B
74957,T_CD4_memory
226068,B
357735,T_CD4_memory
392022,B
592275,T_CD4_memory
756069,T_CD4_memory
798280,T_CD4_memory
204621,T_CD4_memory
226773,Natural_killer
553968,Natural_killer
595581,T_CD4_memory
660348,T_CD4_memory
774994,T_CD4_memory
100115,T_CD4_memory
178490,Natural_killer
183351,Natural_killer
191886,T_gamma_delta
210013,B
312279,T_CD8_memory
317949,T_CD8_memory
348820,B
408157,B
628181,Natural_killer
692802,T_CD4_naive
830047,Natural_killer
508265,B
619588,T_CD4_memory
626733,T_CD4_naive
700942,T_CD4_memory
249593,T_CD4_memory
306240,B
322429,Natural_killer
418670,Natural_killer
427389,T_CD4_memory
471170,T_CD4_memory
551455,T_CD4_memory
621710,T_CD4_memory
672523,B
836,T_CD4_memory
35113,T_CD4_memory
424095,T_CD4_memory
474914,T_CD4_memory
861132,T_CD8_memory
879125,Natural_killer
218102,B
298655,Natural_killer
574138,T_CD4_naive
605139,T_CD8_memory
615203,B
2215,B
32300,T_CD4_memory
150011,T_CD4_memory
241800,T_CD4_memory
254241,B
279494,T_CD4_memory
330635,T_CD4_memory
403359,B
577426,T_CD4_memory
736206,T_CD4_memory
196134,T_CD4_naive
416104,T_CD4_memory
422203,T_CD4_naive
427795,Monocyte_classical
548885,T_CD4_memory
587491,B
597967,B
621182,T_CD4_memory
858094,Natural_killer
50899,B
191038,T_CD4_memory
192382,Natural_killer
228152,B
312403,T_CD4_memory
565805,Natural_killer
881337,T_CD4_memory
87144,T_CD4_memory
426462,T_CD4_memory
538261,B
583055,T_CD4_naive
616460,B
255741,T_CD4_naive
347137,T_CD4_memory
356663,B
380368,B
396105,Natural_killer
407215,T_CD4_memory
410897,T_CD4_memory
477410,B
506150,T_CD4_memory
515379,B
523731,T_CD4_memory
622045,T_CD4_memory
765547,B
780235,Natural_killer
153274,T_CD4_memory
196851,T_CD4_naive
208697,T_CD8_naive
324307,B
382493,T_CD4_memory
405452,T_CD4_memory
437547,T_CD4_memory
507094,T_CD8_naive
606291,B
656762,Natural_killer
672984,B
713078,B
8670,T_CD4_memory
20117,T_CD4_memory
25867,B
78631,Natural_killer
99738,B
212411,Natural_killer
351375,T_CD8_naive
437668,Natural_killer
466353,B
493561,Natural_killer
51357,T_CD4_memory
143150,B
169838,B
206432,T_CD8_memory
232244,T_CD4_memory
233745,T_CD4_memory
257210,T_CD4_memory
393212,B
467731,B
600373,T_CD4_memory
795682,T_CD8_memory
299621,T_CD4_memory
369279,T_CD4_memory
565218,T_CD4_memory
738592,T_CD4_naive
240373,Natural_killer
263460,T_CD4_memory
304601,B
599383,B
633780,B
204759,B
414628,T_CD4_memory
625447,T_CD4_memory
315268,T_CD8_memory
567478,T_CD4_memory
732400,B
863903,B
122129,B
452521,T_CD4_memory
464867,Natural_killer
581569,B
613016,T_CD4_naive
561344,T_CD4_memory
838379,Natural_killer
839023,T_CD4_memory
110823,B
461471,T_CD4_naive
484389,B
736212,B
859634,B
